simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
259,80.22626129060829,19.773738709391708,225275.34170402808,55524.658295971945
260,80.4701791725108,19.529820827489203,225960.2631164103,54839.73688358972
261,79.95914896994213,20.040851030057866,224525.2903075975,56274.709692402525
262,80.54399118129426,19.45600881870574,226167.52723707428,54632.47276292574
263,79.31482441041803,20.685175589581974,222716.02694445383,58083.97305554619
264,81.12645385524175,18.87354614475825,227803.08242551883,52996.91757448118
265,80.43899481561479,19.56100518438521,225872.6974422463,54927.302557753676
266,81.61573436061762,18.384265639382377,229176.98208461428,51623.01791538572
267,79.22690833272821,20.773091667271785,222469.15859830083,58330.84140169917
268,78.00181918744042,21.998180812559582,219029.1082783327,61770.891721667314
269,79.64115620177624,20.35884379822376,223632.3666145877,57167.633385412315
270,80.511663640439,19.488336359561004,226076.7515023527,54723.24849764732
271,79.48592092290602,20.51407907709398,223196.4659515201,57603.53404847989
272,80.34110318514728,19.658896814852724,225597.81774389357,55202.18225610644
273,78.78304350853425,21.21695649146575,221222.78617196417,59577.21382803583
274,81.33840339069735,18.66159660930265,228398.23672107817,52401.763278921855
275,79.22314531825138,20.776854681748617,222458.5920536499,58341.40794635008
276,77.60136890742079,22.39863109257921,217904.64389203757,62895.35610796243
277,78.68497117811593,21.31502882188407,220947.3990681495,59852.60093185052
278,78.4458832741439,21.554116725856105,220276.04023379608,60523.959766203916
279,78.42581024328872,21.574189756711277,220219.67516315472,60580.32483684525
280,79.3799505798758,20.620049420124204,222898.90122829122,57901.098771708785
281,78.84081012105422,21.15918987894578,221384.99481992025,59415.005180079774
282,79.029207669096,20.970792330904004,221914.0151348216,58885.98486517842
283,79.45824938602524,20.541750613974756,223118.7642759589,57681.23572404109
284,77.87753079806379,22.122469201936212,218680.10648096312,62119.893519036865
285,81.27479088341046,18.72520911658954,228219.6128006166,52580.38719938343
286,81.31315867178172,18.68684132821828,228327.34955036305,52472.65044963696
287,78.25371629500579,21.746283704994212,219736.43535637623,61063.56464362377
288,80.74236116246627,19.257638837533733,226724.55014420528,54075.44985579474
289,79.41893885588394,20.581061144116063,223008.38030732208,57791.61969267791
290,80.10582829007062,19.89417170992938,224937.1658385183,55862.83416148169
291,80.23833682730385,19.761663172696146,225309.24981106922,55490.75018893075
292,79.82254272159113,20.177457278408866,224141.69996222793,56658.300037772075
293,78.47838953843302,21.52161046156698,220367.31782391993,60432.68217608005
